"Name","DNS Name","PowerState","Status","VMHost","Guest OS","NumCpu"
"NGINXAPDRS01","nginxapdrs01.mercantile.co.za","PoweredOn","green","vmesxdrs11.mercantile.co.za","CentOS 6 (64-bit)","2"
"CPSSMDRS01","merc-ssm","PoweredOn","green","vmesxdrs09.mercantile.co.za","","8"
"CVCSDRS01","CVCSDRS01.mercantile.co.za","PoweredOn","green","vmesxdrs08.mercantile.co.za","Microsoft Windows Server 2016 or later (64-bit)","16"
"SQLCLWDRS01","SQLCLWDRS01.mercantile.co.za","PoweredOn","green","vmesxdrs11.mercantile.co.za","Microsoft Windows Server 2012 (64-bit)","2"
"SIGNWEBDRS01","SIGNWEBDRS01.mercantile.co.za","PoweredOn","green","vmesxdrs11.mercantile.co.za","Microsoft Windows Server 2016 or later (64-bit)","4"
"PPTDRS01","PPTDRS01.mblcard.co.za","PoweredOn","green","vmesxdrs07.mercantile.co.za","Microsoft Windows Server 2012 (64-bit)","4"
"CVPRXWDRS01","CVPRXWDRS01.mercantile.co.za","PoweredOn","green","vmesxdrs11.mercantile.co.za","Microsoft Windows Server 2012 (64-bit)","4"
"FTGVPNDRS01","cb-dr-fgfw","PoweredOn","green","vmesxdrs11.mercantile.co.za","Other 3.x Linux (64-bit)","8"
"HONAPDRS01","HONAPDRS01.mercantile.co.za","PoweredOn","green","vmesxdrs07.mercantile.co.za","Microsoft Windows Server 2012 (64-bit)","4"
"vHMCDRS01",,"PoweredOn","green","vmesxdrs09.mercantile.co.za",,"4"
"PRXDRS01","prxdrs01.mercantile.co.za","PoweredOn","green","vmesxdrs08.mercantile.co.za","CentOS 4/5 or later (64-bit)","4"
"BLNDRS04","blndrs04.mercantile.co.za","PoweredOn","green","vmesxdrs09.mercantile.co.za","Microsoft Windows Server 2003 Standard (64-bit)","2"
"WEBDCDRS01","WEBDCDRS01.MBLWEBDC.co.za","PoweredOn","green","vmesxdrs09.mercantile.co.za","Microsoft Windows Server 2012 (64-bit)","4"
"WSOAPDRS01",,"PoweredOn","green","vmesxdrs11.mercantile.co.za",,"2"
"PRMDCDRS01","PRMDCDRS01.mblcard.co.za","PoweredOn","green","vmesxdrs07.mercantile.co.za","Microsoft Windows Server 2012 (64-bit)","4"
"POFDRS01","POFDRS01.MBLCARD.co.za","PoweredOn","green","vmesxdrs07.mercantile.co.za","Microsoft Windows Server 2012 (64-bit)","4"
"MBAMDRS01","MBAMDRS01.mercantile.co.za","PoweredOn","green","vmesxdrs11.mercantile.co.za","Microsoft Windows Server 2012 (64-bit)","4"
"CAWCCDRS01","CAWCCDRS01.mercantile.co.za","PoweredOn","green","vmesxdrs07.mercantile.co.za","Microsoft Windows Server 2012 (64-bit)","4"
"PRMWSDRS01",,"PoweredOn","green","vmesxdrs11.mercantile.co.za",,"4"
"MPSDBDRS01","MPSDBDRS01.mblcard.co.za","PoweredOn","green","vmesxdrs11.mercantile.co.za","Microsoft Windows Server 2012 (64-bit)","4"
"vcsadrs01","vcsadrs01.mercantile.co.za","PoweredOn","green","vmesxdrs07.mercantile.co.za","VMware Photon OS (64-bit)","4"
"TIBCODRS01","TIBCODRS01.mercantile.co.za","PoweredOn","green","vmesxdrs11.mercantile.co.za","Microsoft Windows Server 2012 (64-bit)","4"
